297675-297675	9027	1498734205-1498736246	378-465
297722-297722	10063	1498768822-1498770733	55-136
297722-297722	10114	1498770734-1498772808	137-225
297722-297722	10040	1498772808-1498774836	226-312
297722-297722	3601	1498774836-1498775587	313-345
297723-297723	10013	1498777342-1498780232	1-124
297723-297723	10099	1498780233-1498782308	125-213
297723-297723	1000	1498782308-1498782517	214-222
298996-298997	11298	1500017920-1500023194	39-37
299000-299000	3478	1500024067-1500025782	4-77
299042-299042	834	1500063230-1500063645	38-55
299061-299061	10030	1500080597-1500083163	44-154
299061-299061	10050	1500083163-1500085494	155-254
299061-299061	8214	1500085494-1500087568	255-343
299062-299062	10075	1500087847-1500090411	1-110
299062-299062	10010	1500090411-1500093185	111-229
299062-299062	5879	1500093185-1500094724	230-296
299064-299064	7111	1500095072-1500096816	7-81
299065-299065	10066	1500097768-1500100471	13-128
299065-299065	10013	1500100472-1500103619	129-263
299065-299065	5640	1500103619-1500105276	264-335
299067-299067	10038	1500106373-1500109519	1-135
299067-299067	10054	1500109541-1500112829	136-277
299067-299067	10028	1500112830-1500116349	278-428
299067-299067	1823	1500116350-1500117072	429-459
299096-299096	10042	1500132437-1500134624	2-95
299096-299096	236	1500134625-1500134670	96-97
299149-299149	10071	1500169403-1500171640	36-131
299149-299149	10089	1500171640-1500173878	132-227
299149-299149	10056	1500173878-1500176092	228-322
299149-299149	10081	1500176093-1500178330	323-418
299149-299149	5553	1500178330-1500179542	419-470
299178-299178	6436	1500208035-1500209523	43-106
299180-299180	6794	1500209869-1500211281	5-65
299184-299184	10090	1500212543-1500214826	1-98
299184-299184	10032	1500214827-1500217064	99-194
299184-299184	10072	1500217065-1500219442	195-296
299184-299184	10011	1500219443-1500221797	297-397
299184-299184	10110	1500221797-1500224407	398-509
299184-299184	4124	1500224408-1500225458	510-555
299185-299185	10074	1500225974-1500228584	1-112
299185-299185	662	1500228584-1500228770	113-120
299327-299327	6794	1500364388-1500365978	1-69
299329-299329	10032	1500366305-1500368729	1-104
299329-299329	6613	1500368729-1500370314	105-172
299368-299368	10056	1500394290-1500396679	42-144
299368-299368	2626	1500396679-1500397190	145-166
299369-299369	10069	1500397499-1500399620	1-91
299369-299369	10040	1500399621-1500401718	92-181
299369-299369	10055	1500401719-1500403956	182-277
299369-299369	2469	1500403956-1500404534	278-302
299370-299370	10063	1500406769-1500409976	1-138
299370-299370	10022	1500409976-1500412237	139-235
299370-299370	10036	1500412237-1500414614	236-337
299370-299370	10002	1500414615-1500417016	338-440
299370-299370	10079	1500417016-1500419440	441-544
299370-299370	10057	1500419440-1500422027	545-655
299370-299370	3692	1500422028-1500423184	656-705
299380-299380	10040	1500431813-1500433683	37-117
299380-299380	10107	1500433683-1500435618	118-200
299380-299381	8047	1500435618-1500437890	201-45
299394-299394	2104	1500449437-1500449944	5-26
299395-299395	10036	1500450141-1500452146	1-86
299395-299395	5801	1500452146-1500454340	87-181
299396-299396	7163	1500454535-1500456392	2-81
299420-299420	5323	1500465889-1500466979	4-50
299443-299443	2380	1500510773-1500511238	145-164
299450-299450	5399	1500525562-1500526586	45-88
299477-299477	820	1500554670-1500555787	39-87
299478-299478	10046	1500556002-1500558053	1-88
299478-299478	9733	1500558053-1500560000	89-172
299479-299479	10106	1500560280-1500562284	1-86
299479-299479	3345	1500562285-1500562980	87-116
299480-299480	10038	1500563270-1500565391	1-91
299480-299480	10010	1500565392-1500567490	92-181
299480-299480	10060	1500567490-1500569634	182-273
299480-299480	10031	1500569634-1500571802	274-366
299480-299480	10009	1500571802-1500574063	367-463
299480-299480	10036	1500574064-1500576417	464-564
299480-299480	10075	1500576418-1500578912	565-671
299480-299480	3865	1500578912-1500579841	672-711
299481-299481	10060	1500580517-1500583244	1-117
299481-299481	10065	1500583244-1500586018	118-236
299481-299481	10037	1500586554-1500589351	260-379
299481-299481	10073	1500589351-1500592708	380-523
299481-299481	10007	1500592708-1500595808	524-656
299481-299481	10073	1500595808-1500599095	657-797
299481-299481	10030	1500599095-1500602755	798-954
299481-299481	10016	1500602756-1500607230	955-1146
299481-299481	6593	1500607231-1500609818	1147-1257
299593-299593	10088	1500661423-1500664710	95-235
299593-299593	10094	1500664710-1500666807	236-325
299593-299593	10092	1500666808-1500668789	326-410
299593-299593	10061	1500668789-1500670933	411-502
299593-299593	10004	1500670934-1500672962	503-589
